date,level,country,lat,long,population,tz,state_abbr
2020-09-13,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-14,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-15,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-16,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-17,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-18,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-19,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-20,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-21,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-22,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-23,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-24,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-25,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-26,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-27,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-28,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-29,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-30,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-10-01,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-10-02,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-10-03,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-10-04,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-10-05,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-10-06,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-10-07,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-01-22,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-01-23,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-01-24,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-01-25,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-01-26,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-01-27,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-01-28,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-01-29,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-01-30,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-01-31,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-01,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-02,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-03,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-04,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-05,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-06,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-07,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-08,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-09,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-10,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-11,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-12,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-13,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-14,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-15,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-16,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-17,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-18,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-19,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-20,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-21,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-22,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-23,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-24,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-25,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-26,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
